,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.032570600509643555,0.009829521179199219,0.0,0.0,0.1,1000,l1,newton-cg,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,18
1,0.022383689880371094,8.96453857421875e-05,0.0,0.0,0.1,1000,l1,lbfgs,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,16
2,12.440654754638672,0.2601585388183594,0.036717772483825684,0.003455519676208496,0.1,1000,l1,saga,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.6872884543061302,0.6855369569306,0.6864127056183651,0.0008757486877650766,12
3,1.7787479162216187,0.10365784168243408,0.05937051773071289,0.009304523468017578,0.1,1000,l2,newton-cg,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}",0.720007521624671,0.7160052661275155,0.7180063938760932,0.0020011277485777468,11
4,0.8034567832946777,0.08302164077758789,0.055144309997558594,0.006256103515625,0.1,1000,l2,lbfgs,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7201955622414441,0.7161933421102126,0.7181944521758283,0.002001110065615763,9
5,4.023066878318787,0.204839825630188,0.035030245780944824,0.0028148889541625977,0.1,1000,l2,saga,"{'C': 0.1, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.720007521624671,0.7161933421102126,0.7181004318674418,0.0019070897572291967,10
6,0.03230082988739014,0.00014126300811767578,0.0,0.0,1.0,1000,l1,newton-cg,"{'C': 1.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,13
7,0.029618382453918457,0.002850174903869629,0.0,0.0,1.0,1000,l1,lbfgs,"{'C': 1.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,17
8,106.93831038475037,1.2647435665130615,0.03641486167907715,0.002157926559448242,1.0,1000,l1,saga,"{'C': 1.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.7275291462955998,0.7190144818506676,0.7232718140731338,0.004257332222466104,8
9,2.960579752922058,0.03248465061187744,0.05422401428222656,0.005953311920166016,1.0,1000,l2,newton-cg,"{'C': 1.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}",0.7320421210981573,0.7207071656949408,0.726374643396549,0.005667477701608248,4
10,2.1869008541107178,0.05861067771911621,0.05594193935394287,0.007581114768981934,1.0,1000,l2,lbfgs,"{'C': 1.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7320421210981573,0.7207071656949408,0.726374643396549,0.005667477701608248,4
11,20.486070156097412,0.25750207901000977,0.03542125225067139,0.0028325319290161133,1.0,1000,l2,saga,"{'C': 1.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.7320421210981573,0.7205190897122438,0.7262806054052005,0.005761515692956742,6
12,0.033225178718566895,0.0007017850875854492,0.0,0.0,10.0,1000,l1,newton-cg,"{'C': 10.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,14
13,0.03248417377471924,0.004378676414489746,0.0,0.0,10.0,1000,l1,lbfgs,"{'C': 10.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,15
14,119.57510781288147,0.07144641876220703,0.03727126121520996,0.002539396286010742,10.0,1000,l1,saga,"{'C': 10.0, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}",0.7265889432117337,0.7216475456084258,0.7241182444100798,0.002470698801653959,7
15,5.224313378334045,0.1910780668258667,0.05546855926513672,0.005586385726928711,10.0,1000,l2,newton-cg,"{'C': 10.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg'}",0.7316660398646108,0.7218356215911228,0.7267508307278667,0.004915209136743981,2
16,5.371147632598877,0.13444995880126953,0.05793201923370361,0.00907289981842041,10.0,1000,l2,lbfgs,"{'C': 10.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.7314779992478375,0.7218356215911228,0.7266568104194802,0.004821188828357359,3
17,74.10412061214447,0.17658579349517822,0.03523576259613037,0.002287745475769043,10.0,1000,l2,saga,"{'C': 10.0, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga'}",0.7309138773975179,0.7229640774873048,0.7269389774424113,0.003974899955106526,1
